Date,Time,Location
10/02,14:25,PRÉFECTURE D'ILLE-ET-VILAINE (RENNES)
10/02,14:30,PRÉFECTURE D'ILLE-ET-VILAINE (RENNES)
10/02,14:40,PRÉFECTURE D'ILLE-ET-VILAINE (RENNES)
10/02,14:45,PRÉFECTURE D'ILLE-ET-VILAINE (RENNES)
10/02,14:50,PRÉFECTURE D'ILLE-ET-VILAINE (RENNES)
10/02,15:25,PRÉFECTURE D'ILLE-ET-VILAINE (RENNES)
10/02,15:30,PRÉFECTURE D'ILLE-ET-VILAINE (RENNES)
10/02,09:20,PRÉFECTURE D'ILLE-ET-VILAINE (RENNES)
10/02,09:25,PRÉFECTURE D'ILLE-ET-VILAINE (RENNES)
10/02,09:35,PRÉFECTURE D'ILLE-ET-VILAINE (RENNES)
10/02,09:45,PRÉFECTURE D'ILLE-ET-VILAINE (RENNES)
10/02,09:50,PRÉFECTURE D'ILLE-ET-VILAINE (RENNES)
10/02,09:55,PRÉFECTURE D'ILLE-ET-VILAINE (RENNES)
10/02,10:05,PRÉFECTURE D'ILLE-ET-VILAINE (RENNES)
10/02,10:10,PRÉFECTURE D'ILLE-ET-VILAINE (RENNES)
10/02,10:15,PRÉFECTURE D'ILLE-ET-VILAINE (RENNES)
